gear_type,length,tonnage,engine_power,country,IUU Fishing,duration_hr,median_distance_km,median_speed_knots,country_encounter,start_month,start_hour,end_month,end_hour,seasons
other_fishing,23.0097836411,78.8954556593,394.867662911,Australia,1.91,2.1666666666666665,0.0691569971,0.0316280834,NA,7,23,7,2,q3
other_fishing,23.0097836411,78.8954556593,394.867662911,Australia,1.91,2.0,0.0277169429,0.02430731095,NA,8,3,8,5,q3
other_fishing,23.0097836411,78.8954556593,394.867662911,Australia,1.91,2.0,0.0414092373,0.018665962,NA,7,1,7,3,q3
other_fishing,23.0097836411,78.8954556593,394.867662911,Australia,1.91,3.8333333333333335,0.0449339594,0.029033744,NA,7,4,7,8,q3
other_fishing,23.0097836411,78.8954556593,394.867662911,Australia,1.91,26.33333333333333,0.0391917425,0.0168551989999999,NA,7,23,7,2,q3
trawlers,91.2661547386,3728.30368504,5058.43932449,Belize,1.78,9.666666666666666,0.0599725454999999,0.0105167013999999,Angola,1,14,1,0,q1
trawlers,91.2661547386,3728.30368504,5058.43932449,Belize,1.78,13.166666666666664,0.0210599103,0.02541362515,NA,8,22,8,11,q3
trawlers,91.2661547386,3728.30368504,5058.43932449,Belize,1.78,2.333333333333333,0.0372559501,0.7145009991,Guinea-Bissau,5,22,5,0,q2
trawlers,98.9241177125,4633.91899857,5994.92448673,Belize,1.78,84.33333333333333,0.0445119866,0.0382413822,NA,1,10,1,23,q1
trawlers,27.7785179047,156.438762247,723.915281163,Canada,1.97,2.5,0.3139468157,0.0016991495999999,NA,5,14,5,17,q2
trawlers,27.7785179047,156.438762247,723.915281163,Canada,1.97,2.833333333333333,0.3004539374,0.0088228268,NA,2,19,2,22,q1
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,11.0,0.0340329350999999,0.0055729996999999,NA,8,5,8,16,q3
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,15.333333333333336,0.0310386596,0.00454756185,NA,7,22,7,13,q3
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,16.333333333333332,0.1194066471,0.0052961738999999,NA,8,22,8,14,q3
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,34.833333333333336,0.03030037715,0.0066039802999999,NA,10,10,10,21,q4
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,2.6666666666666665,0.037624498,0.0024073431,NA,8,12,8,15,q3
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,7.0,0.032414177,0.0048795357,NA,6,6,6,13,q2
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,3.0,0.0290651564999999,0.0074623829999999,NA,8,21,8,0,q3
trawlers,23.5277747241,237.0,638.12323769,Canada,1.97,18.83333333333333,0.0322706087999999,0.0055258365,NA,3,0,3,18,q1
